Customer_ID,Customer_Segment,Region,Current_Price,Proposed_Price,Competitor_Price,Unit_Cost,Willingness_to_Pay,Expected_Demand,Number_of_Customers,Conversion_Rate,Churn_Rate,Discount_%,Revenue,Gross_Profit,Gross_Margin_%,CAC,LTV,LTV:CAC_Ratio,Price_Sensitivity_Score,Pricing_Scenario,Recommended_Price,Final_Decision
C049,Mid-Market,North,1290,1290,1240,300,1450,274,22,0.0804,0.0526,0.0,28380.0,21780.0,0.7674418604651163,1156.63,17831.29,15.42,69.5,Promotional,1340,Increase
C050,Enterprise,South,1700,1700,1890,250,1990,439,36,0.0834,0.0504,0.05,58140.0,49140.0,0.8452012383900929,1495.19,25718.33,17.2,49.6,Penetration,1900,Increase
C051,Students,East,680,680,680,310,760,200,20,0.1012,0.0661,0.0,13600.0,7400.0,0.5441176470588235,1549.22,5227.58,3.37,67.1,Current,720,Increase
C052,Individual Professionals,West,1010,1010,1060,180,1010,191,16,0.0884,0.0332,0.05,15352.0,12472.0,0.8124022928608651,1234.25,22699.42,18.39,47.0,Moderate Increase,1030,Increase
C053,Small Businesses,North,1180,1180,1270,310,1380,207,20,0.0979,0.085,0.0,23600.0,17400.0,0.7372881355932204,1287.17,9365.29,7.28,67.3,Premium,1300,Increase
C054,Mid-Market,South,1480,1480,1700,220,1710,164,10,0.0619,0.0486,0.0,14800.0,12600.0,0.8513513513513513,1589.88,24665.93,15.51,66.4,Promotional,1660,Increase
C055,Enterprise,East,1510,1510,1510,290,1400,240,17,0.0735,0.0631,0.1,23103.0,18173.0,0.7866077998528329,925.88,15872.36,17.14,21.9,Penetration,1460,Maintain
C056,Students,West,790,790,730,270,910,279,19,0.0705,0.0358,0.1,13509.0,8379.0,0.620253164556962,934.27,11877.44,12.71,55.8,Current,820,Increase
C057,Individual Professionals,North,1120,1120,1250,180,1210,209,19,0.0935,0.047,0.1,19152.0,15732.0,0.8214285714285714,1370.13,16789.02,12.25,45.0,Moderate Increase,1210,Increase
C058,Small Businesses,South,960,960,950,300,960,142,11,0.0794,0.0507,0.1,9504.0,6204.0,0.6527777777777778,1031.32,10560.26,10.24,57.0,Premium,960,Maintain
C059,Mid-Market,East,1390,1390,1500,290,1740,300,23,0.0789,0.0529,0.05,30371.5,23701.5,0.7803862173419159,1598.31,18449.65,11.54,54.9,Promotional,1590,Increase
C060,Enterprise,West,1510,1510,1510,310,1620,274,31,0.115,0.0384,0.0,46810.0,37200.0,0.7947019867549668,912.37,30050.0,32.94,46.4,Penetration,1560,Increase
C061,Students,North,760,760,750,240,940,248,17,0.0688,0.0499,0.1,11628.0,7548.0,0.6491228070175439,1064.57,8453.8,7.94,49.8,Current,840,Increase
C062,Individual Professionals,South,1040,1040,1070,280,1150,267,19,0.0722,0.0352,0.0,19760.0,14440.0,0.7307692307692307,1008.81,20830.91,20.65,88.2,Moderate Increase,1100,Increase
C063,Small Businesses,East,1180,1180,1300,290,1240,334,35,0.1075,0.0472,0.1,37170.0,27020.0,0.7269303201506592,1531.79,15583.93,10.17,49.6,Premium,1250,Increase
C064,Mid-Market,West,1310,1310,1360,190,1480,255,23,0.0907,0.0513,0.0,30130.0,25760.0,0.8549618320610687,1571.84,20712.36,13.18,51.6,Promotional,1400,Increase
C065,Enterprise,North,1590,1590,1530,190,1680,272,28,0.105,0.0513,0.0,44520.0,39200.0,0.8805031446540881,1169.15,25890.45,22.14,67.9,Penetration,1610,Increase
C066,Students,South,670,670,640,220,700,292,24,0.0848,0.0655,0.1,14472.0,9192.0,0.6351575456053068,900.86,5464.33,6.07,51.8,Current,670,Maintain
C067,Individual Professionals,East,900,900,880,240,1060,183,15,0.0833,0.0719,0.0,13500.0,9900.0,0.7333333333333333,1235.9,8519.42,6.89,54.0,Moderate Increase,960,Increase
C068,Small Businesses,West,1270,1270,1250,310,1160,203,18,0.0931,0.0559,0.0,22860.0,17280.0,0.7559055118110236,996.74,16213.52,16.27,43.9,Premium,1210,Maintain
C069,Mid-Market,North,1360,1360,1290,180,1280,119,12,0.103,0.0728,0.05,15504.0,13344.0,0.8606811145510835,1494.6,14162.73,9.48,44.9,Promotional,1300,Maintain
C070,Enterprise,South,1720,1720,1810,200,2010,220,18,0.0852,0.0505,0.0,30960.0,27360.0,0.8837209302325582,1322.4,28579.01,21.61,85.8,Penetration,1880,Increase
C071,Students,East,840,840,930,220,990,278,29,0.1075,0.0645,0.0,24360.0,17980.0,0.7380952380952381,954.68,8992.4,9.42,69.2,Current,940,Increase
C072,Individual Professionals,West,860,860,780,200,990,359,41,0.1161,0.0754,0.1,31734.0,23534.0,0.7416020671834626,1315.68,7038.73,5.35,63.3,Moderate Increase,890,Increase
C073,Small Businesses,North,1170,1170,1260,200,1260,190,15,0.0841,0.0538,0.15,14917.5,11917.5,0.7988939165409754,1309.25,13973.16,10.67,57.3,Premium,1240,Increase
C074,Mid-Market,South,1370,1370,1530,260,1530,276,19,0.0716,0.0362,0.0,26030.0,21090.0,0.8102189781021898,1364.53,29552.98,21.66,39.0,Promotional,1500,Increase
C075,Enterprise,East,1640,1640,1720,210,1980,290,20,0.0698,0.0387,0.0,32800.0,28600.0,0.8719512195121951,1374.33,35520.9,25.85,82.6,Penetration,1820,Increase
C076,Students,West,840,840,920,320,880,264,21,0.0814,0.0463,0.0,17640.0,10920.0,0.6190476190476191,1185.57,10711.1,9.03,47.0,Current,890,Increase
C077,Individual Professionals,North,1020,1020,1020,280,970,175,13,0.0763,0.0766,0.1,11934.0,8294.0,0.6949891067538126,1538.81,7690.98,5.0,30.9,Moderate Increase,1000,Maintain
C078,Small Businesses,South,980,980,1060,300,1010,278,29,0.1069,0.02,0.05,26999.0,18299.0,0.677765843179377,1298.95,30919.0,23.8,39.4,Premium,1020,Increase
C079,Mid-Market,East,1320,1320,1470,290,1230,394,46,0.1181,0.05,0.15,51612.0,38272.0,0.7415329768270945,1164.0,15808.0,13.58,63.7,Promotional,1330,Increase
C080,Enterprise,West,1640,1640,1640,220,1830,351,25,0.0723,0.0695,0.1,36900.0,31400.0,0.8509485094850948,1227.35,16815.94,13.7,71.3,Penetration,1730,Increase
C081,Students,North,750,750,750,200,720,277,13,0.0501,0.065,0.0,9750.0,7150.0,0.7333333333333333,969.25,7911.54,8.16,45.1,Current,740,Maintain
C082,Individual Professionals,South,1010,1010,980,210,970,223,16,0.0745,0.0543,0.0,16160.0,12800.0,0.7920792079207921,1237.04,13932.97,11.26,54.6,Moderate Increase,980,Maintain
C083,Small Businesses,East,1150,1150,1180,200,1140,270,22,0.0831,0.0546,0.1,22770.0,18370.0,0.8067632850241546,1589.2,14458.04,9.1,35.8,Premium,1160,Increase
C084,Mid-Market,West,1250,1250,1150,200,1260,255,10,0.04,0.0294,0.05,11875.0,9875.0,0.8315789473684211,1279.66,32600.94,25.48,45.9,Promotional,1220,Maintain
C085,Enterprise,North,1650,1650,1550,300,1820,223,20,0.0936,0.032,0.0,33000.0,27000.0,0.8181818181818182,1432.01,40837.5,28.52,57.6,Penetration,1690,Increase
C086,Students,South,880,880,1000,200,1070,166,14,0.0863,0.0389,0.0,12320.0,9520.0,0.7727272727272727,1189.5,16800.72,14.12,74.4,Current,1010,Increase
C087,Individual Professionals,East,950,950,1020,300,1150,187,17,0.0945,0.0755,0.0,16150.0,11050.0,0.6842105263157895,1012.88,7959.27,7.86,57.0,Moderate Increase,1060,Increase
C088,Small Businesses,West,1160,1160,1270,250,1240,274,25,0.0924,0.0515,0.0,29000.0,22750.0,0.7844827586206896,987.96,16759.9,16.96,61.8,Premium,1230,Increase
C089,Mid-Market,North,1440,1440,1640,200,1580,201,16,0.0834,0.0691,0.0,23040.0,19840.0,0.8611111111111112,1541.79,16705.01,10.83,69.5,Promotional,1570,Increase
C090,Enterprise,South,1690,1690,1720,240,1840,312,10,0.035,0.0607,0.05,16055.0,13655.0,0.8505138586110246,1228.13,21130.38,17.21,63.6,Penetration,1770,Increase
C091,Students,East,790,790,780,190,810,218,27,0.1254,0.055,0.05,20263.5,15133.5,0.7468354430379747,1048.37,9630.41,9.19,54.0,Current,800,Increase
C092,Individual Professionals,West,920,920,970,180,1150,233,16,0.0716,0.0689,0.0,14720.0,11840.0,0.8043478260869565,1006.63,10000.2,9.93,68.7,Moderate Increase,1040,Increase
C093,Small Businesses,North,1170,1170,1320,220,1350,370,28,0.0776,0.0337,0.0,32760.0,26600.0,0.811965811965812,1565.04,27239.91,17.41,45.0,Premium,1300,Increase
C094,Mid-Market,South,1370,1370,1470,300,1250,182,16,0.091,0.0505,0.05,20824.0,16024.0,0.7694967345370726,1111.74,18830.18,16.94,58.2,Promotional,1350,Maintain
C095,Enterprise,East,1790,1790,1940,240,1960,344,29,0.0872,0.057,0.0,51910.0,44950.0,0.8659217877094972,1352.95,25642.98,18.95,49.9,Penetration,1920,Increase
C096,Students,West,720,720,730,200,670,293,22,0.0783,0.0663,0.0,15840.0,11440.0,0.7222222222222222,1128.58,7323.14,6.49,59.8,Current,700,Maintain
C097,Individual Professionals,North,960,960,1070,210,1090,253,20,0.0801,0.0499,0.0,19200.0,15000.0,0.78125,1372.32,14280.06,10.41,65.7,Moderate Increase,1060,Increase
C098,Small Businesses,South,1180,1180,1220,280,1460,124,10,0.0856,0.0549,0.0,11800.0,9000.0,0.7627118644067796,1583.29,15493.44,9.79,71.6,Premium,1320,Increase
C099,Mid-Market,East,1310,1310,1190,240,1580,361,27,0.075,0.0671,0.1,31833.0,25353.0,0.7964376590330788,1125.55,13055.04,11.6,78.8,Promotional,1390,Increase
C100,Enterprise,West,1700,1700,1800,230,1680,247,23,0.0948,0.0407,0.15,33235.0,27945.0,0.8408304498269896,1421.49,28637.58,20.15,46.4,Penetration,1730,Increase
